Timestamp (Sec),PV (kWh),demand (kWh),battery (kWh),Hourly Grid Price
1,0,0.29,7.141030928,0.0997
2,0,0.27,6.862680412,0.0997
3,0,0.22,6.635876289,0.0997
4,0,0.38,6.244123711,0.0997
5,0,0.53,5.697731959,0.0997
6,0,0.43,5.25443299,0.0997
7,0,0.45,4.790515464,0.0997
8,0.081531253,0.44,4.41843847,0.0997
9,0.315933606,0.46,4.260145271,0.0997
10,0.407656266,1.56,3.059554114,0.0997
11,0.326125013,1.7,1.633101807,0.0997
12,0.295550793,1.82,0.05236394,0.0997
13,0.407656266,1.46,0,0.0997
14,0.305742199,0.72,0,0.0997
15,0.448421892,0.45,0,0.0997
16,0.529953145,0.86,0,0.0997
17,0.336316419,0.84,0,0.0997
18,0.203828133,0.64,0,0.0997
19,0.112105473,0.77,0,0.0997
20,0.040765627,0.94,0,0.0997
21,0,1.12,0,0.0997
22,0,0.69,0,0.0997
23,0,0.67,0,0.0997
24,0,0.66,0,0.0997
25,0,0.61,0,0.0997
26,0,0.41,0,0.0997
27,0,0.42,0,0.0997
28,0,0.41,0,0.0997
29,0,0.41,0,0.0997
30,0,0.42,0,0.0997
31,0.010191407,0.42,0,0.1684
32,0.081531253,0.97,0,0.1684
33,0.448421892,0.71,0,0.1684
34,0.305742199,0.67,0,0.1684
35,0.285359386,0.46,0,0.2185
36,0.305742199,1.43,0,0.2185
37,0.203828133,2.35,0,0.2185
38,0.142679693,2.07,0,0.1684
39,0.193636726,2.35,0,0.1684
40,0.275167979,1.38,0,0.1684
41,0.203828133,0.73,0,0.1684
42,0.203828133,0.62,0,0.1684
43,0.101914066,2.68,0,0.1684
44,0.010191407,2.49,0,0.2185
45,0,1.35,0,0.2185
46,0,1.15,0,0.1684
47,0,0.59,0,0.1684
48,0,0.59,0,0.0997
49,0,0.59,0,0.0997
50,0,0.5,0,0.0997
51,0,0.42,0,0.0997
52,0,0.42,0,0.0997
53,0,0.45,0,0.0997
54,0,0.42,0,0.0997
55,0.010191407,0.42,0,0.1684
56,0.1528711,0.49,0,0.1684
57,0.438230486,0.51,0,0.1684
58,0.703207058,1.98,0,0.1684
59,0.733781278,1.79,0,0.2185
60,0.652250025,1.47,0,0.2185
61,0.907035191,1.55,0,0.2185
62,0.540144552,2.15,0,0.1684
63,0.611484399,1.38,0,0.1684
64,0.478996112,0.59,0,0.1684
65,0.254785166,0.49,0,0.1684
66,0.173253913,0.88,0,0.1684
67,0.081531253,1.31,0,0.1684
68,0.03057422,1.97,0,0.2185
69,0,0.86,0,0.2185
70,0,0.65,0,0.1684
71,0,0.67,0,0.1684
72,0,0.66,0,0.0997
73,0,0.61,0,0.0997
